8.022,13056,1310003
11.826,2668,247693
13.817,2406,190682
16.889,2949,225627
20.822,2479,145604
21.619,5515,1073883
25.853,12075,1295715
26.512,12569,1682457
27.446,4079,533325
29.844,8894,896728
30.185,282897,16983373
30.583,5682,740931
32.168,13952,1590133
34.241,45600,4113733
34.875,8723,869417
35.2,327943,22627525
35.891,63736,5042629
36.5,438842,30249250
37.272,23092,2818120
43.156,8081,1646706
